CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,48,31,23
2,Male,42,26,28
3,Male,49,24,37
4,Female,58,23,21
5,Female,41,15,19
6,Male,41,19,21
7,Female,59,21,32
8,Female,51,33,28
9,Female,38,28,21
10,Female,48,15,29
11,Male,38,28,26
12,Male,38,22,33
13,Female,45,20,19
14,Female,24,30,22
15,Male,26,33,22
16,Male,37,32,13
17,Female,33,18,27
18,Male,46,23,27
19,Female,34,28,25
20,Female,29,33,23
21,Male,58,21,14
22,Male,41,24,22
23,Female,44,16,22
24,Female,29,15,19
25,Male,38,32,24
26,Female,44,36,28
27,Male,31,24,40
28,Female,47,33,26
29,Male,37,28,27
30,Male,40,20,24
31,Male,37,28,10
32,Female,62,37,25
33,Female,43,25,25
34,Male,32,38,45
35,Female,51,15,23
36,Male,31,32,27
37,Male,45,26,25
38,Female,23,23,16
39,Female,30,26,34
40,Male,45,15,31
41,Female,21,28,70
42,Male,23,40,76
43,Male,29,26,73
44,Female,19,50,79
45,Male,26,33,100
46,Male,32,21,59
47,Female,18,19,85
48,Female,26,32,62
49,Male,26,26,73
50,Male,29,34,89
51,Male,19,32,79
52,Female,18,27,67
53,Female,28,21,71
54,Female,26,16,85
55,Female,26,24,71
56,Male,27,35,80
57,Female,22,30,78
58,Female,26,18,71
59,Female,26,29,99
60,Female,21,31,84
61,Female,34,21,58
62,Male,27,29,80
63,Male,19,28,71
64,Female,28,19,87
65,Male,20,31,70
66,Female,29,32,77
67,Female,31,37,83
68,Male,21,36,87
69,Male,30,17,66
70,Female,27,20,75
71,Female,29,32,73
72,Female,34,32,71
73,Male,24,32,96
74,Female,21,59,82
75,Female,21,33,65
76,Female,21,37,87
77,Male,25,36,99
78,Female,27,33,88
79,Female,26,25,63
80,Male,29,34,73
81,Male,54,53,49
82,Male,40,58,54
83,Male,28,54,57
84,Female,46,56,46
85,Female,42,60,52
86,Male,33,48,50
87,Male,41,72,51
88,Female,35,47,42
89,Female,41,45,50
90,Female,48,64,55
91,Female,59,61,65
92,Male,25,60,60
93,Female,66,60,72
94,Male,18,55,42
95,Female,38,48,59
96,Female,47,56,52
97,Female,43,50,72
98,Female,33,63,42
99,Female,38,54,42
100,Male,34,48,44
101,Male,33,52,29
102,Female,50,58,45
103,Female,44,50,42
104,Male,32,48,52
105,Female,51,57,53
106,Female,44,57,69
107,Male,50,51,60
108,Female,48,51,44
109,Female,30,57,41
110,Male,33,43,55
111,Male,49,44,37
112,Male,47,49,68
113,Female,40,53,62
114,Male,41,57,45
115,Male,55,67,33
116,Male,33,62,64
117,Male,47,54,49
118,Male,38,55,62
119,Male,37,47,34
120,Female,53,55,44
121,Female,50,53,50
122,Male,50,58,50
123,Male,56,48,45
124,Male,40,59,56
125,Female,48,67,39
126,Male,44,72,20
127,Male,47,89,21
128,Female,45,82,40
129,Female,61,62,36
130,Female,58,94,27
131,Female,36,73,40
132,Male,46,74,34
133,Male,49,88,7
134,Female,62,77,32
135,Female,54,89,29
136,Female,44,112,21
137,Male,47,83,12
138,Female,26,75,28
139,Female,55,90,6
140,Female,51,79,23
141,Male,57,88,18
142,Male,44,92,13
143,Male,46,88,33
144,Male,40,89,23
145,Male,34,90,24
146,Male,39,107,30
147,Male,27,85,23
148,Male,54,90,27
149,Female,23,98,30
150,Female,65,94,28
151,Male,27,84,25
152,Male,60,99,37
153,Female,36,78,33
154,Male,51,85,22
155,Male,37,79,16
156,Male,62,95,28
157,Female,45,102,25
158,Female,56,91,37
159,Female,46,89,31
160,Female,49,77,29
161,Female,51,80,23
162,Male,40,74,16
163,Female,32,62,21
164,Male,35,81,70
165,Male,37,80,95
166,Male,31,85,76
167,Female,36,110,88
168,Female,35,81,76
169,Female,37,89,74
170,Male,36,57,84
171,Female,29,95,91
172,Male,35,115,80
173,Female,37,74,81
174,Male,23,127,89
175,Male,30,88,90
176,Female,36,53,82
177,Female,44,81,78
178,Female,38,103,83
179,Female,44,112,80
180,Male,29,95,85
181,Female,34,106,71
182,Female,38,71,84
183,Female,18,77,76
184,Male,43,64,90
185,Male,19,78,76
186,Female,39,96,76
187,Male,37,89,86
188,Female,18,97,82
189,Male,18,74,100
190,Male,42,75,67
191,Male,41,89,83
192,Male,26,78,92
193,Female,26,103,77
194,Female,36,78,74
195,Female,32,80,74
196,Male,39,91,67
197,Female,35,81,94
198,Female,43,70,79
199,Female,39,72,78
200,Male,37,93,63
